Number of Topics,Coherence Score
2,0.3693
3,0.3825
4,0.4214
5,0.4397
6,0.4109
7,0.4628
8,0.4529
9,0.4846
10,0.4555
11,0.4828
12,0.4854
13,0.5169
14,0.5175
15,0.5255
16,0.5263
17,0.5374
18,0.5281
19,0.5251
20,0.544
21,0.5339
22,0.5261
23,0.5479
24,0.5487
25,0.5474
26,0.557
27,0.5456
28,0.5537
29,0.5596
30,0.5663
